policy,policy_base,workload,cache_kb,assoc,leader_fraction,interval_k,hit_rate_pct,miss_rate_pct,mpki,l2_hits,l2_misses,sim_cycles,sim_instrs,metadata_bits_per_line
adaptive_lf20_iv1000k,adaptive,stream,128,8,20,1000,37.95,62.05,620.5,151800,248200,3178644472,400000000,2
adaptive_lf40_iv250k,adaptive,stream,128,8,40,250,33.83,66.17,661.7,135320,264679,3176482674,400000000,2
adaptive_lf40_iv500k,adaptive,stream,128,8,40,500,34.09,65.91,659.1,136360,263640,3180616517,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,128,8,40,1000,34.4,65.6,656.0,137600,262400,3188713011,400000000,2
lru,lru,mixed,128,8,,,62.25,37.75,377.5,323700,196299,1738086481,520000000,1
fifo,fifo,mixed,128,8,,,67.78,32.22,322.2,352456,167544,1752318948,520000000,1
random,random,mixed,128,8,,,57.89,42.11,421.1,301028,218972,1737543662,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,128,8,10,250,70.94,29.06,290.6,368888,151111,1723701436,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,128,8,10,500,70.44,29.56,295.6,366288,153712,1767384423,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,128,8,10,1000,70.76,29.24,292.4,367952,152048,1744447291,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,128,8,20,250,72.86,27.14,271.4,378872,141128,1757177546,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,128,8,20,500,73.3,26.7,267.0,381160,138840,1724696216,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,128,8,20,1000,71.44,28.56,285.6,371488,148511,1731127214,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,128,8,40,250,67.98,32.02,320.2,353496,166504,1729238673,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,128,8,40,500,69.61,30.39,303.9,361972,158027,1762344514,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,128,8,40,1000,68.08,31.92,319.2,354016,165984,1752392959,520000000,2
lru,lru,stride,128,8,,,47.99,52.01,520.1,230352,249648,2096698143,480000000,1
fifo,fifo,stride,128,8,,,52.33,47.67,476.7,251184,228816,2079197802,480000000,1
random,random,stride,128,8,,,44.78,55.22,552.2,214944,265056,2087407043,480000000,0
adaptive_lf10_iv250k,adaptive,stride,128,8,10,250,56.3,43.7,437.0,270240,209760,2116271153,480000000,2
adaptive_lf10_iv500k,adaptive,stride,128,8,10,500,56.23,43.77,437.7,269904,210096,2073768998,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,128,8,10,1000,57.0,43.0,430.0,273600,206400,2091237481,480000000,2
adaptive_lf20_iv250k,adaptive,stride,128,8,20,250,57.45,42.55,425.5,275760,204240,2061809370,480000000,2
adaptive_lf20_iv500k,adaptive,stride,128,8,20,500,57.72,42.28,422.8,277056,202943,2097939471,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,128,8,20,1000,58.67,41.33,413.3,281616,198384,2084158479,480000000,2
adaptive_lf40_iv250k,adaptive,stride,128,8,40,250,53.45,46.55,465.5,256560,223440,2086611153,480000000,2
adaptive_lf40_iv500k,adaptive,stride,128,8,40,500,55.21,44.79,447.9,265008,214991,2094185929,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,128,8,40,1000,54.92,45.08,450.8,263616,216384,2115286226,480000000,2
lru,lru,loop,128,16,,,88.08,11.92,119.2,528480,71519,852389447,600000000,1
fifo,fifo,loop,128,16,,,81.29,18.71,187.1,487740,112260,849928658,600000000,1
random,random,loop,128,16,,,76.72,23.28,232.8,460320,139680,851361731,600000000,0
adaptive_lf10_iv250k,adaptive,loop,128,16,10,250,84.69,15.31,153.1,508140,91860,850653405,600000000,2
adaptive_lf10_iv500k,adaptive,loop,128,16,10,500,86.26,13.74,137.4,517560,82439,859535708,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,128,16,10,1000,84.26,15.74,157.4,505560,94439,852366987,600000000,2
adaptive_lf20_iv250k,adaptive,loop,128,16,20,250,86.02,13.98,139.8,516120,83880,860764980,600000000,2
adaptive_lf20_iv500k,adaptive,loop,128,16,20,500,88.07,11.93,119.3,528420,71579,842653765,600000000,2
adaptive_lf20_iv1000k,adaptive,loop,128,16,20,1000,87.22,12.78,127.8,523320,76680,851574817,600000000,2
adaptive_lf40_iv250k,adaptive,loop,128,16,40,250,82.0,18.0,180.0,492000,108000,861797906,600000000,2
adaptive_lf40_iv500k,adaptive,loop,128,16,40,500,83.2,16.8,168.0,499200,100800,860759267,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,128,16,40,1000,82.93,17.07,170.7,497580,102419,841153431,600000000,2
lru,lru,stream,128,16,,,38.54,61.46,614.6,154160,245840,3241477071,400000000,1
fifo,fifo,stream,128,16,,,41.26,58.74,587.4,165040,234959,3229925025,400000000,1
random,random,stream,128,16,,,37.98,62.02,620.2,151920,248080,3158279161,400000000,0
adaptive_lf10_iv250k,adaptive,stream,128,16,10,250,39.1,60.9,609.0,156400,243600,3242736894,400000000,2
adaptive_lf10_iv500k,adaptive,stream,128,16,10,500,38.42,61.58,615.8,153680,246320,3199030926,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,128,16,10,1000,38.16,61.84,618.4,152640,247360,3225606373,400000000,2
adaptive_lf20_iv250k,adaptive,stream,128,16,20,250,40.98,59.02,590.2,163920,236080,3162672220,400000000,2
adaptive_lf20_iv500k,adaptive,stream,128,16,20,500,40.87,59.13,591.3,163480,236519,3203194778,400000000,2
adaptive_lf20_iv1000k,adaptive,stream,128,16,20,1000,40.37,59.63,596.3,161480,238520,3234556343,400000000,2
adaptive_lf40_iv250k,adaptive,stream,128,16,40,250,36.57,63.43,634.3,146280,253720,3174172580,400000000,2
adaptive_lf40_iv500k,adaptive,stream,128,16,40,500,36.94,63.06,630.6,147760,252240,3223644143,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,128,16,40,1000,36.33,63.67,636.7,145320,254680,3183961195,400000000,2
lru,lru,mixed,128,16,,,65.49,34.51,345.1,340548,179451,1747456141,520000000,1
fifo,fifo,mixed,128,16,,,69.34,30.66,306.6,360568,159432,1726843404,520000000,1
random,random,mixed,128,16,,,59.6,40.4,404.0,309920,210080,1748299102,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,128,16,10,250,73.05,26.95,269.5,379860,140139,1728733755,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,128,16,10,500,72.49,27.51,275.1,376948,143052,1720988930,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,128,16,10,1000,73.15,26.85,268.5,380380,139619,1728569273,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,128,16,20,250,75.77,24.23,242.3,394004,125995,1758789140,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,128,16,20,500,74.13,25.87,258.7,385476,134524,1728031910,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,128,16,20,1000,75.24,24.76,247.6,391248,128752,1725645498,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,128,16,40,250,70.08,29.92,299.2,364416,155584,1768744968,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,128,16,40,500,71.25,28.75,287.5,370500,149500,1743286360,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,128,16,40,1000,71.46,28.54,285.4,371592,148408,1760591240,520000000,2
lru,lru,stride,128,16,,,49.2,50.8,508.0,236160,243840,2095790346,480000000,1
fifo,fifo,stride,128,16,,,54.97,45.03,450.3,263855,216144,2092523100,480000000,1
random,random,stride,128,16,,,47.42,52.58,525.8,227616,252384,2112774752,480000000,0
adaptive_lf10_iv250k,adaptive,stride,128,16,10,250,59.41,40.59,405.9,285168,194832,2065149591,480000000,2
adaptive_lf10_iv500k,adaptive,stride,128,16,10,500,58.63,41.37,413.7,281424,198575,2081000659,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,128,16,10,1000,59.19,40.81,408.1,284112,195888,2074780650,480000000,2
adaptive_lf20_iv250k,adaptive,stride,128,16,20,250,60.0,40.0,400.0,288000,192000,2086544829,480000000,2
adaptive_lf20_iv500k,adaptive,stride,128,16,20,500,60.66,39.34,393.4,291168,188832,2075253341,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,128,16,20,1000,60.1,39.9,399.0,288480,191520,2116204967,480000000,2
adaptive_lf40_iv250k,adaptive,stride,128,16,40,250,56.46,43.54,435.4,271008,208992,2115855696,480000000,2
adaptive_lf40_iv500k,adaptive,stride,128,16,40,500,56.89,43.11,431.1,273072,206928,2064536784,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,128,16,40,1000,57.41,42.59,425.9,275568,204431,2113344439,480000000,2
lru,lru,loop,128,32,,,93.48,6.52,65.2,560880,39120,859037247,600000000,1
fifo,fifo,loop,128,32,,,85.14,14.86,148.6,510840,89159,859781475,600000000,1
random,random,loop,128,32,,,80.5,19.5,195.0,483000,116999,863149858,600000000,0
adaptive_lf10_iv250k,adaptive,loop,128,32,10,250,88.47,11.53,115.3,530820,69179,853047463,600000000,2
adaptive_lf10_iv500k,adaptive,loop,128,32,10,500,91.21,8.79,87.9,547260,52739,846860476,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,128,32,10,1000,90.42,9.58,95.8,542520,57480,852663562,600000000,2
adaptive_lf20_iv250k,adaptive,loop,128,32,20,250,91.45,8.55,85.5,548700,51300,864276996,600000000,2
adaptive_lf20_iv500k,adaptive,loop,128,32,20,500,93.27,6.73,67.3,559620,40380,851818754,600000000,2
adaptive_lf20_iv1000k,adaptive,loop,128,32,20,1000,92.26,7.74,77.4,553560,46440,842788666,600000000,2
adaptive_lf40_iv250k,adaptive,loop,128,32,40,250,87.12,12.88,128.8,522720,77280,869837429,600000000,2
adaptive_lf40_iv500k,adaptive,loop,128,32,40,500,88.11,11.89,118.9,528660,71340,857672317,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,128,32,40,1000,88.31,11.69,116.9,529860,70140,844971381,600000000,2
lru,lru,stream,128,32,,,43.9,56.1,561.0,175600,224399,3233950040,400000000,1
fifo,fifo,stream,128,32,,,45.13,54.87,548.7,180520,219480,3243326388,400000000,1
random,random,stream,128,32,,,42.46,57.54,575.4,169840,230160,3171067508,400000000,0
adaptive_lf10_iv250k,adaptive,stream,128,32,10,250,43.58,56.42,564.2,174320,225680,3217166213,400000000,2
adaptive_lf10_iv500k,adaptive,stream,128,32,10,500,43.35,56.65,566.5,173400,226600,3164031093,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,128,32,10,1000,43.97,56.03,560.3,175880,224120,3175668429,400000000,2
adaptive_lf20_iv250k,adaptive,stream,128,32,20,250,45.59,54.41,544.1,182360,217640,3210192098,400000000,2
adaptive_lf20_iv500k,adaptive,stream,128,32,20,500,45.59,54.41,544.1,182360,217640,3206765366,400000000,2
adaptive_lf20_iv1000k,adaptive,stream,128,32,20,1000,45.49,54.51,545.1,181960,218039,3240532359,400000000,2
adaptive_lf40_iv250k,adaptive,stream,128,32,40,250,41.09,58.91,589.1,164360,235639,3223105563,400000000,2
adaptive_lf40_iv500k,adaptive,stream,128,32,40,500,41.37,58.63,586.3,165480,234520,3192100838,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,128,32,40,1000,41.67,58.33,583.3,166680,233319,3182660487,400000000,2
lru,lru,mixed,128,32,,,70.53,29.47,294.7,366756,153243,1726613983,520000000,1
fifo,fifo,mixed,128,32,,,74.01,25.99,259.9,384852,135148,1771524430,520000000,1
random,random,mixed,128,32,,,65.87,34.13,341.3,342524,177476,1731435992,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,128,32,10,250,76.99,23.01,230.1,400348,119651,1730051885,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,128,32,10,500,78.91,21.09,210.9,410332,109667,1760212857,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,128,32,10,1000,78.54,21.46,214.6,408408,111592,1733899323,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,128,32,20,250,78.84,21.16,211.6,409968,110032,1757826299,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,128,32,20,500,80.39,19.61,196.1,418028,101972,1744614321,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,128,32,20,1000,80.82,19.18,191.8,420264,99735,1746371503,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,128,32,40,250,74.54,25.46,254.6,387608,132392,1761471991,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,128,32,40,500,75.44,24.56,245.6,392288,127712,1752484987,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,128,32,40,1000,76.66,23.34,233.4,398632,121368,1723548724,520000000,2
lru,lru,stride,128,32,,,53.96,46.04,460.4,259007,220992,2103362704,480000000,1
fifo,fifo,stride,128,32,,,59.49,40.51,405.1,285552,194448,2101288413,480000000,1
random,random,stride,128,32,,,52.24,47.76,477.6,250752,229248,2082972662,480000000,0
adaptive_lf10_iv250k,adaptive,stride,128,32,10,250,63.61,36.39,363.9,305328,174672,2075942111,480000000,2
adaptive_lf10_iv500k,adaptive,stride,128,32,10,500,63.58,36.42,364.2,305184,174815,2116198414,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,128,32,10,1000,64.02,35.98,359.8,307296,172704,2064784808,480000000,2
adaptive_lf20_iv250k,adaptive,stride,128,32,20,250,65.21,34.79,347.9,313008,166992,2075212745,480000000,2
adaptive_lf20_iv500k,adaptive,stride,128,32,20,500,64.62,35.38,353.8,310176,169824,2106773353,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,128,32,20,1000,65.63,34.37,343.7,315024,164976,2073889518,480000000,2
adaptive_lf40_iv250k,adaptive,stride,128,32,40,250,61.8,38.2,382.0,296640,183360,2095727412,480000000,2
adaptive_lf40_iv500k,adaptive,stride,128,32,40,500,61.47,38.53,385.3,295056,184944,2062015102,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,128,32,40,1000,60.58,39.42,394.2,290784,189216,2117717171,480000000,2
lru,lru,loop,256,8,,,89.12,10.88,108.8,534720,65280,859695736,600000000,1
fifo,fifo,loop,256,8,,,81.9,18.1,181.0,491399,108600,850738762,600000000,1
random,random,loop,256,8,,,75.94,24.06,240.6,455640,144360,861980983,600000000,0
adaptive_lf10_iv250k,adaptive,loop,256,8,10,250,87.6,12.4,124.0,525600,74400,860553556,600000000,2
adaptive_lf10_iv500k,adaptive,loop,256,8,10,500,87.74,12.26,122.6,526440,73560,863014183,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,256,8,10,1000,85.81,14.19,141.9,514860,85140,848698506,600000000,2
adaptive_lf20_iv250k,adaptive,loop,256,8,20,250,87.5,12.5,125.0,525000,75000,860264981,600000000,2
adaptive_lf20_iv500k,adaptive,loop,256,8,20,500,89.82,10.18,101.8,538920,61080,847923747,600000000,2
adaptive_lf20_iv1000k,adaptive,loop,256,8,20,1000,88.88,11.12,111.2,533280,66719,842616186,600000000,2
adaptive_lf40_iv250k,adaptive,loop,256,8,40,250,85.65,14.35,143.5,513900,86099,864671592,600000000,2
adaptive_lf40_iv500k,adaptive,loop,256,8,40,500,86.01,13.99,139.9,516060,83940,862854213,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,256,8,40,1000,85.53,14.47,144.7,513179,86820,843264212,600000000,2
lru,lru,stream,256,8,,,39.2,60.8,608.0,156800,243200,3241747288,400000000,1
fifo,fifo,stream,256,8,,,40.26,59.74,597.4,161040,238959,3234481078,400000000,1
random,random,stream,256,8,,,39.46,60.54,605.4,157840,242159,3177788116,400000000,0
adaptive_lf10_iv250k,adaptive,stream,256,8,10,250,37.78,62.22,622.2,151120,248880,3163879309,400000000,2
adaptive_lf10_iv500k,adaptive,stream,256,8,10,500,38.12,61.88,618.8,152480,247520,3235686377,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,256,8,10,1000,37.15,62.85,628.5,148600,251400,3232435537,400000000,2
adaptive_lf20_iv250k,adaptive,stream,256,8,20,250,39.41,60.59,605.9,157640,242360,3181513060,400000000,2
adaptive_lf20_iv500k,adaptive,stream,256,8,20,500,40.05,59.95,599.5,160200,239799,3173555585,400000000,2
adaptive_lf20_iv1000k,adaptive,stream,256,8,20,1000,38.9,61.1,611.0,155600,244400,3171158715,400000000,2
adaptive_lf40_iv250k,adaptive,stream,256,8,40,250,35.28,64.72,647.2,141120,258880,3238536358,400000000,2
adaptive_lf40_iv500k,adaptive,stream,256,8,40,500,36.2,63.8,638.0,144800,255200,3181561551,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,256,8,40,1000,35.61,64.39,643.9,142440,257559,3193615325,400000000,2
lru,lru,mixed,256,8,,,66.57,33.43,334.3,346164,173836,1773997746,520000000,1
fifo,fifo,mixed,256,8,,,68.01,31.99,319.9,353652,166347,1774115960,520000000,1
random,random,mixed,256,8,,,59.12,40.88,408.8,307424,212576,1783077006,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,256,8,10,250,73.24,26.76,267.6,380848,139151,1723500552,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,256,8,10,500,73.85,26.15,261.5,384020,135979,1755307451,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,256,8,10,1000,73.35,26.65,266.5,381420,138579,1749430847,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,256,8,20,250,75.79,24.21,242.1,394108,125891,1735339397,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,256,8,20,500,76.17,23.83,238.3,396084,123915,1728131186,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,256,8,20,1000,76.23,23.77,237.7,396396,123604,1714854341,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,256,8,40,250,72.68,27.32,273.2,377936,142064,1746583667,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,256,8,40,500,72.47,27.53,275.3,376844,143156,1757454159,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,256,8,40,1000,72.13,27.87,278.7,375076,144923,1738034610,520000000,2
lru,lru,stride,256,8,,,52.16,47.84,478.4,250367,229632,2088414350,480000000,1
fifo,fifo,stride,256,8,,,55.49,44.51,445.1,266351,213648,2117792665,480000000,1
random,random,stride,256,8,,,49.02,50.98,509.8,235296,244704,2089529193,480000000,0
adaptive_lf10_iv250k,adaptive,stride,256,8,10,250,58.82,41.18,411.8,282336,197664,2086962377,480000000,2
adaptive_lf10_iv500k,adaptive,stride,256,8,10,500,59.23,40.77,407.7,284304,195695,2079493358,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,256,8,10,1000,58.5,41.5,415.0,280800,199200,2088025575,480000000,2
adaptive_lf20_iv250k,adaptive,stride,256,8,20,250,61.97,38.03,380.3,297456,182544,2100805783,480000000,2
adaptive_lf20_iv500k,adaptive,stride,256,8,20,500,62.14,37.86,378.6,298272,181728,2096767543,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,256,8,20,1000,60.79,39.21,392.1,291792,188208,2093829245,480000000,2
adaptive_lf40_iv250k,adaptive,stride,256,8,40,250,56.3,43.7,437.0,270240,209760,2081739478,480000000,2
adaptive_lf40_iv500k,adaptive,stride,256,8,40,500,57.28,42.72,427.2,274944,205056,2099217104,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,256,8,40,1000,57.42,42.58,425.8,275616,204383,2091858097,480000000,2
lru,lru,loop,256,16,,,90.61,9.39,93.9,543660,56339,850071639,600000000,1
fifo,fifo,loop,256,16,,,85.11,14.89,148.9,510660,89340,864969958,600000000,1
random,random,loop,256,16,,,78.42,21.58,215.8,470520,129480,854604661,600000000,0
adaptive_lf10_iv250k,adaptive,loop,256,16,10,250,89.0,11.0,110.0,534000,65999,856088712,600000000,2
adaptive_lf10_iv500k,adaptive,loop,256,16,10,500,88.76,11.24,112.4,532559,67440,861124227,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,256,16,10,1000,89.63,10.37,103.7,537780,62220,856348304,600000000,2
adaptive_lf20_iv250k,adaptive,loop,256,16,20,250,90.21,9.79,97.9,541260,58739,843552657,600000000,2
adaptive_lf20_iv500k,adaptive,loop,256,16,20,500,89.9,10.1,101.0,539400,60599,845089176,600000000,2
adaptive_lf20_iv1000k,adaptive,loop,256,16,20,1000,90.89,9.11,91.1,545340,54659,859342717,600000000,2
adaptive_lf40_iv250k,adaptive,loop,256,16,40,250,85.84,14.16,141.6,515040,84959,854281613,600000000,2
adaptive_lf40_iv500k,adaptive,loop,256,16,40,500,87.54,12.46,124.6,525240,74760,846607397,600000000,2
adaptive_lf40_iv1000k,adaptive,loop,256,16,40,1000,87.47,12.53,125.3,524820,75179,854379854,600000000,2
lru,lru,stream,256,16,,,42.0,58.0,580.0,168000,232000,3152122473,400000000,1
fifo,fifo,stream,256,16,,,42.62,57.38,573.8,170480,229520,3225005045,400000000,1
random,random,stream,256,16,,,41.01,58.99,589.9,164040,235960,3193189190,400000000,0
adaptive_lf10_iv250k,adaptive,stream,256,16,10,250,39.47,60.53,605.3,157880,242119,3245594832,400000000,2
adaptive_lf10_iv500k,adaptive,stream,256,16,10,500,40.12,59.88,598.8,160480,239520,3157894284,400000000,2
adaptive_lf10_iv1000k,adaptive,stream,256,16,10,1000,39.56,60.44,604.4,158240,241760,3234992340,400000000,2
adaptive_lf20_iv250k,adaptive,stream,256,16,20,250,41.8,58.2,582.0,167200,232800,3228677678,400000000,2
adaptive_lf20_iv500k,adaptive,stream,256,16,20,500,42.31,57.69,576.9,169240,230760,3246163956,400000000,2
adaptive_lf20_iv1000k,adaptive,stream,256,16,20,1000,41.98,58.02,580.2,167920,232080,3242798401,400000000,2
adaptive_lf40_iv250k,adaptive,stream,256,16,40,250,38.3,61.7,617.0,153200,246800,3213367220,400000000,2
adaptive_lf40_iv500k,adaptive,stream,256,16,40,500,38.35,61.65,616.5,153400,246600,3202963062,400000000,2
adaptive_lf40_iv1000k,adaptive,stream,256,16,40,1000,38.23,61.77,617.7,152920,247080,3207199441,400000000,2
lru,lru,mixed,256,16,,,69.4,30.6,306.0,360880,159120,1749002955,520000000,1
fifo,fifo,mixed,256,16,,,70.69,29.31,293.1,367588,152412,1735728935,520000000,1
random,random,mixed,256,16,,,62.36,37.64,376.4,324272,195727,1771670657,520000000,0
adaptive_lf10_iv250k,adaptive,mixed,256,16,10,250,76.21,23.79,237.9,396292,123708,1749879027,520000000,2
adaptive_lf10_iv500k,adaptive,mixed,256,16,10,500,75.88,24.12,241.2,394576,125423,1721492680,520000000,2
adaptive_lf10_iv1000k,adaptive,mixed,256,16,10,1000,75.67,24.33,243.3,393484,126515,1731869421,520000000,2
adaptive_lf20_iv250k,adaptive,mixed,256,16,20,250,77.74,22.26,222.6,404248,115752,1743757144,520000000,2
adaptive_lf20_iv500k,adaptive,mixed,256,16,20,500,77.55,22.45,224.5,403260,116740,1727813679,520000000,2
adaptive_lf20_iv1000k,adaptive,mixed,256,16,20,1000,78.61,21.39,213.9,408772,111227,1751534150,520000000,2
adaptive_lf40_iv250k,adaptive,mixed,256,16,40,250,73.19,26.81,268.1,380588,139412,1741550170,520000000,2
adaptive_lf40_iv500k,adaptive,mixed,256,16,40,500,74.5,25.5,255.0,387400,132600,1740619508,520000000,2
adaptive_lf40_iv1000k,adaptive,mixed,256,16,40,1000,73.51,26.49,264.9,382252,137748,1741875377,520000000,2
lru,lru,stride,256,16,,,54.44,45.56,455.6,261312,218688,2112820076,480000000,1
fifo,fifo,stride,256,16,,,58.82,41.18,411.8,282336,197664,2112997332,480000000,1
random,random,stride,256,16,,,50.92,49.08,490.8,244416,235584,2072692363,480000000,0
adaptive_lf10_iv250k,adaptive,stride,256,16,10,250,61.29,38.71,387.1,294192,185808,2109845923,480000000,2
adaptive_lf10_iv500k,adaptive,stride,256,16,10,500,62.46,37.54,375.4,299808,180191,2121268170,480000000,2
adaptive_lf10_iv1000k,adaptive,stride,256,16,10,1000,61.41,38.59,385.9,294768,185232,2109355508,480000000,2
adaptive_lf20_iv250k,adaptive,stride,256,16,20,250,63.65,36.35,363.5,305520,174480,2098136671,480000000,2
adaptive_lf20_iv500k,adaptive,stride,256,16,20,500,63.27,36.73,367.3,303696,176303,2074413113,480000000,2
adaptive_lf20_iv1000k,adaptive,stride,256,16,20,1000,63.44,36.56,365.6,304512,175488,2062302787,480000000,2
adaptive_lf40_iv250k,adaptive,stride,256,16,40,250,59.27,40.73,407.3,284496,195504,2107126102,480000000,2
adaptive_lf40_iv500k,adaptive,stride,256,16,40,500,59.63,40.37,403.7,286224,193775,2074459668,480000000,2
adaptive_lf40_iv1000k,adaptive,stride,256,16,40,1000,59.5,40.5,405.0,285600,194400,2072230839,480000000,2
lru,lru,loop,256,32,,,94.83,5.17,51.7,568980,31019,849354954,600000000,1
fifo,fifo,loop,256,32,,,89.07,10.93,109.3,534420,65579,846789760,600000000,1
random,random,loop,256,32,,,84.36,15.64,156.4,506160,93839,855178467,600000000,0
adaptive_lf10_iv250k,adaptive,loop,256,32,10,250,93.65,6.35,63.5,561900,38100,841965307,600000000,2
adaptive_lf10_iv500k,adaptive,loop,256,32,10,500,93.66,6.34,63.4,561960,38040,846085338,600000000,2
adaptive_lf10_iv1000k,adaptive,loop,256,32,10,1000,93.27,6.73,67.3,559620,40380,860628203,600000000,2
adaptive_lf20_iv250k,adaptive,loop,256,32,20,250,95.41,4.59,45.9,572460,27540,857804592,600000000,2
adaptive_lf20_iv500k,adaptive,loop,256,32,20,500,96.96,3.04,30.4,581760,18239,843194580,600000000,2
